diseaseid	disease_name	disease_class	disease_class_name	disease_semantic_type	hpo_name	do_name	source	num_genes	num_variants	num_diseases	type
C0400966	Non-alcoholic Fatty Liver Disease	C06	   Digestive System Diseases	Disease or Syndrome		genetic disease; disease of metabolism	GWASCAT	18	37	146	disease
C0406208	Suntan			Organ or Tissue Function			GWASCAT	53	94	133	phenotype
C0409959	Osteoarthritis, Knee	C05	   Musculoskeletal Diseases	Disease or Syndrome	Abnormality of limbs; Abnormality of the skeletal system		GWASCAT	38	59	187	disease
C0410702	Adolescent idiopathic scoliosis	C05	   Musculoskeletal Diseases	Anatomical Abnormality			GWASCAT	578	1158	514	disease
C0419415	Birth length			Finding			GWASCAT	2	4	16	phenotype
C0423791	Maculopapular Lesion	C23;C17;C20	   Pathological Conditions, Signs and Symptoms;    Skin and Connective Tissue Diseases;    Immune System Diseases	Finding	Abnormality of the integument; Abnormality of the immune system		GWASCAT	9	28	41	phenotype
C0424000	Feeling suicidal (finding)	F01	   Behavior and Behavior Mechanisms	Finding	Abnormality of the nervous system		GWASCAT	1	10	3	phenotype
C0424574	Duration of sleep			Finding			GWASCAT	101	200	276	phenotype
C0424621	Body Fat Distribution			Finding			GWASCAT	90	119	222	phenotype
C0424678	Lean body mass			Clinical Attribute			GWASCAT	143	208	329	phenotype
C0425782	Breast size			Finding			GWASCAT	16	38	126	phenotype
C0427418	Folic acid measurement, RBC			Laboratory Procedure			GWASCAT	2	2	17	phenotype
C0427460	Red cell distribution width determination			Laboratory Procedure			GWASCAT	593	988	452	phenotype
C0428209	Leucine measurement			Laboratory Procedure			GWASCAT	2	3	18	phenotype
C0428210	Methionine measurement			Laboratory Procedure			GWASCAT	3	4	13	phenotype
C0428402	Human chorionic gonadotropin measurement			Laboratory Procedure			GWASCAT	1	1	2	phenotype
C0428419	Triiodothyronine measurement			Laboratory Procedure			GWASCAT	6	12	43	phenotype
C0428545	Serum transferrin measurement			Laboratory Procedure			GWASCAT	6	10	104	phenotype
C0428568	Fasting blood glucose measurement			Laboratory Procedure			GWASCAT	57	114	234	phenotype
C0428580	Vitamin measurement			Laboratory Procedure			GWASCAT	4	4	40	phenotype
C0428791	Aortic valve calcification	C18;C14	   Nutritional and Metabolic Diseases;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the skeletal system; Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	2	2	17	disease
C0428883	Diastolic blood pressure			Clinical Attribute			GWASCAT	507	1037	507	phenotype
C0428886	Mean blood pressure			Finding			GWASCAT	136	326	281	phenotype
C0429021	P wave duration (observable entity)			Clinical Attribute			GWASCAT	10	18	89	phenotype
C0429028	QT interval feature (observable entity)			Clinical Attribute			GWASCAT	70	177	175	phenotype
C0429087	Electrocardiogram: P-R interval			Finding			GWASCAT	57	126	116	phenotype
C0429097	QRS complex feature			Finding			GWASCAT	41	69	181	phenotype
C0429494	Ocular axial length			Clinical Attribute			GWASCAT	4	11	14	phenotype
C0429702	Respiratory quotient			Clinical Attribute			GWASCAT	3	3	25	phenotype
C0441683	Hormone measurement			Laboratory Procedure			GWASCAT	33	51	176	group
C0442840	Cardiac embolism			Disease or Syndrome			GWASCAT	1	3	31	disease
C0442874	Neuropathy	C10	   Nervous System Diseases	Disease or Syndrome	Abnormality of the nervous system	disease of anatomical entity	GWASCAT	9	36	32	group
C0449439	Carrier status			Finding			GWASCAT	2	6	103	phenotype
C0451641	Urolithiasis	C13;C12	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome			GWASCAT	12	17	129	disease
C0454651	Specific language impairment	C23;C10	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases	Disease or Syndrome			GWASCAT	5	7	6	disease
C0455273	Serum urea measurement			Laboratory Procedure			GWASCAT	5	10	42	phenotype
C0455308	Serum selenium measurement			Laboratory Procedure			GWASCAT	5	7	12	phenotype
C0455806	Infant length			Finding			GWASCAT	10	14	92	phenotype
C0455829	Waist Circumference			Clinical Attribute			GWASCAT	69	117	205	phenotype
C0474543	Hemoglobin A2 measurement			Laboratory Procedure			GWASCAT	3	5	33	phenotype
C0474679	Serum ceruloplasmin measurement			Laboratory Procedure			GWASCAT	1	1	1	phenotype
C0474702	Sulfate measurement			Laboratory Procedure			GWASCAT	2	3	13	phenotype
C0476089	Endometrial Carcinoma	C04;C13	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications	Neoplastic Process	Abnormality of the genitourinary system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	29	54	205	disease
C0476254	Dyslexia	C23;C10;F03	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases;    Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	4	6	9	disease
C0478009	Congenital malformation of cardiac chambers and connections, unspecified	C16;C14	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Cardiovascular Diseases	Congenital Abnormality			GWASCAT	1	2	27	disease
C0494406	Reaction to severe stress, and adjustment disorders			Mental or Behavioral Dysfunction			GWASCAT	1	1	23	disease
C0495706	elevated blood glucose level			Finding			GWASCAT	42	69	269	phenotype
C0496758	Malignant neoplasm of lateral floor of mouth	C04;C07	   Neoplasms;    Stomatognathic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	9	13	133	disease
C0497327	Dementia	C10;F03	   Nervous System Diseases;    Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	3	4	24	disease
C0518015	Hemoglobin measurement			Laboratory Procedure			GWASCAT	129	209	375	phenotype
C0518026	body fat percentage (physical finding)			Finding			GWASCAT	56	98	223	phenotype
C0519826	ASSAY FOR TACROLIMUS			Laboratory Procedure			GWASCAT	2	3	7	phenotype
C0520459	Necrotizing Enterocolitis	C06	   Digestive System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	2	3	5	disease
C0520679	Sleep Apnea, Obstructive	C08;C10	   Respiratory Tract Diseases;    Nervous System Diseases	Disease or Syndrome	Abnormality of the nervous system; Abnormality of the respiratory system	disease of mental health	GWASCAT	7	19	40	disease
C0523353	Complement factor H measurement			Laboratory Procedure			GWASCAT	1	5	15	phenotype
C0523446	Acylcarnitines measurement			Laboratory Procedure			GWASCAT	6	12	37	phenotype
C0523459	Alanine measurement			Laboratory Procedure			GWASCAT	3	3	20	phenotype
C0523465	Serum albumin measurement			Laboratory Procedure			GWASCAT	16	28	167	phenotype
C0523509	Apolipoprotein B Assay			Laboratory Procedure			GWASCAT	1	2	15	phenotype
C0523511	Apolipoproteins E measurement (procedure)			Laboratory Procedure			GWASCAT	1	1	37	phenotype
C0523516	Asparagine measurement			Laboratory Procedure			GWASCAT	2	4	13	phenotype
C0523522	beta-Endorphin measurement			Laboratory Procedure			GWASCAT	2	1	29	phenotype
C0523550	Catalase measurement			Laboratory Procedure			GWASCAT	1	2	1	phenotype
C0523560	VLDL cholesterol measurement			Laboratory Procedure			GWASCAT	3	23	39	phenotype
C0523631	Folic acid measurement			Laboratory Procedure			GWASCAT	3	8	27	phenotype
C0523633	Fibronectin measurement			Laboratory Procedure			GWASCAT	1	1	8	phenotype
C0523677	Glycine measurement			Laboratory Procedure			GWASCAT	32	68	202	phenotype
C0523688	Hemopexin measurement			Laboratory Procedure			GWASCAT	4	5	38	phenotype
C0523697	Histidine measurement			Laboratory Procedure			GWASCAT	2	2	18	phenotype
C0523744	Lipids measurement			Laboratory Procedure			GWASCAT	27	52	189	group
C0523760	Lysine measurement			Laboratory Procedure			GWASCAT	3	3	40	phenotype
C0523801	Ornithine measurement			Laboratory Procedure			GWASCAT	1	2	3	phenotype
C0523827	Inorganic phosphate measurement			Laboratory Procedure			GWASCAT	9	15	26	phenotype
C0523829	Phosphatidylcholine measurement			Laboratory Procedure			GWASCAT	9	19	104	phenotype
C0523852	Proline measurement			Laboratory Procedure			GWASCAT	1	3	9	phenotype
C0523888	Serine measurement			Laboratory Procedure			GWASCAT	9	18	20	phenotype
C0523912	Testosterone measurement			Laboratory Procedure			GWASCAT	14	23	37	phenotype
C0523920	Threonine measurement			Laboratory Procedure			GWASCAT	4	5	16	phenotype
C0523953	Cardiac troponin T measurement			Laboratory Procedure			GWASCAT	11	16	71	phenotype
C0523957	Tryptophan measurement			Laboratory Procedure			GWASCAT	3	3	31	phenotype
C0523979	Vitamin D3 measurement			Laboratory Procedure			GWASCAT	14	49	27	phenotype
C0524587	Mean Corpuscular Volume (result)			Laboratory or Test Result			GWASCAT	250	495	379	phenotype
C0524620	Metabolic Syndrome X	C18	   Nutritional and Metabolic Diseases	Disease or Syndrome		genetic disease; syndrome	GWASCAT	55	124	231	disease
C0524662	Opiate Addiction	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	1	5	2	disease
C0524909	Hepatitis B, Chronic	C06;C01	   Digestive System Diseases;    Infections	Disease or Syndrome			GWASCAT	15	19	95	disease
C0524910	Hepatitis C, Chronic	C06;C01	   Digestive System Diseases;    Infections	Disease or Syndrome			GWASCAT	10	17	68	disease
C0524957	Corneal Topography			Diagnostic Procedure			GWASCAT	22	35	91	phenotype
C0525045	Mood Disorders	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	99	218	253	group
C0549473	Thyroid carcinoma	C04;C19	   Neoplasms;    Endocrine System Diseases	Neoplastic Process	Abnormality of the endocrine system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	7	20	95	disease
C0549622	Sexual Dysfunction	C23;C13;F03;F01	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications;    Mental Disorders;    Behavior and Behavior Mechanisms	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	3	4	21	group
C0553580	Ewings sarcoma	C04	   Neoplasms	Neoplastic Process	Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	3	7	8	disease
C0553723	Squamous cell carcinoma of skin	C04;C17	   Neoplasms;    Skin and Connective Tissue Diseases	Neoplastic Process	Abnormality of the integument; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	10	13	107	disease
C0562350	Hip circumference			Clinical Attribute			GWASCAT	68	116	237	phenotype
C0574785	Lower Urinary Tract Symptoms	C23	   Pathological Conditions, Signs and Symptoms	Sign or Symptom			GWASCAT	13	23	105	phenotype
C0577608	C4 complement assay (procedure)			Laboratory Procedure			GWASCAT	11	13	62	phenotype
C0577631	Carotid Atherosclerosis	C10;C14	   Nervous System Diseases;    Cardiovascular Diseases	Disease or Syndrome			GWASCAT	3	7	81	disease
C0578022	Finding of body mass index			Finding			GWASCAT	12	23	112	phenotype
C0582591	Processing speed			Mental Process			GWASCAT	7	15	35	phenotype
C0587178	Anti-nuclear antibody measurement			Laboratory Procedure			GWASCAT	3	3	62	phenotype
C0596887	mathematical ability			Mental Process			GWASCAT	854	2126	552	phenotype
C0599909	stress related disorder			Mental or Behavioral Dysfunction			GWASCAT	1	1	16	disease
C0600139	Prostate carcinoma	C04;C12	   Neoplasms;    Male Urogenital Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	172	374	353	disease
C0600298	Periodontosis	C07	   Stomatognathic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	11	27	39	disease
C0600427	Cocaine Dependence	C25;F03	   Chemically-Induced Disorders;    Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	3	4	18	disease
C0677483	Carcinoma testes	C04;C12;C19	   Neoplasms;    Male Urogenital Diseases;    Endocrine System Diseases	Neoplastic Process			GWASCAT	1	2	1	disease
C0677607	Hashimoto Disease	C19	   Endocrine System Diseases	Disease or Syndrome	Abnormality of the endocrine system; Abnormality of the immune system	disease of anatomical entity	GWASCAT	10	17	91	disease
C0677886	Epithelial ovarian cancer	C04;C13;C19	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Endocrine System Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	20	30	89	disease
C0678222	Breast Carcinoma	C04;C17	   Neoplasms;    Skin and Connective Tissue Diseases	Neoplastic Process	Neoplasm; Abnormality of the breast	disease of anatomical entity; disease of cellular proliferation	GWASCAT	321	675	453	disease
C0678909	Brain Waves			Organ or Tissue Function			GWASCAT	14	24	61	phenotype
C0679254	Disease recurrence			Finding			GWASCAT	1	2	9	phenotype
C0684249	Carcinoma of lung	C04;C08	   Neoplasms;    Respiratory Tract Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	107	198	329	disease
C0684328	Reasoning			Mental Process			GWASCAT	11	13	63	phenotype
C0696113	Serum ferritin measurement			Laboratory Procedure			GWASCAT	10	21	50	phenotype
C0699791	Stomach Carcinoma	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	20	22	144	disease
C0699885	Carcinoma of bladder	C04;C13;C12	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Neoplastic Process	Abnormality of the genitourinary system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	16	25	102	disease
C0700379	Total iron binding capacity function			Clinical Attribute			GWASCAT	20	35	135	phenotype
C0700639	Pyloric Stenosis, Hypertrophic	C06	   Digestive System Diseases	Congenital Abnormality		disease of anatomical entity	GWASCAT	6	11	40	disease
C0729264	Preterm premature rupture of membranes (disorder)	C13	   Female Urogenital Diseases and Pregnancy Complications	Pathologic Function		disease of anatomical entity	GWASCAT	1	2	1	phenotype
C0730345	Microalbuminuria	C23;C13;C12	   Pathological Conditions, Signs and Symptoms;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Finding	Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system		GWASCAT	22	31	180	phenotype
C0740394	Hyperuricemia	C23	   Pathological Conditions, Signs and Symptoms	Disease or Syndrome	Abnormality of metabolism/homeostasis	disease of metabolism	GWASCAT	23	24	116	disease
C0741260	Adult onset asthma			Disease or Syndrome			GWASCAT	29	62	247	disease
C0748540	Scleroderma, Limited	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	6	10	50	disease
C0750880	Monocyte count result			Laboratory or Test Result			GWASCAT	139	296	308	phenotype
C0751093	Dystonia, Limb	C23;C10	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases	Sign or Symptom	Abnormality of the nervous system		GWASCAT	1	1	3	phenotype
C0751362	Narcolepsy-Cataplexy Syndrome	C10;F03	   Nervous System Diseases;    Mental Disorders	Disease or Syndrome		disease of mental health	GWASCAT	1	3	32	disease
C0751676	Basal Cell Cancer	C04	   Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	55	109	251	disease
C0752347	Lewy Body Disease	C10;F03	   Nervous System Diseases;    Mental Disorders	Disease or Syndrome	Abnormality of the nervous system	disease of mental health	GWASCAT	6	5	41	disease
C0848558	Hypospadias	C16;C13;C12	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Congenital Abnormality	Abnormality of the genitourinary system	physical disorder	GWASCAT	18	24	89	disease
C0855095	Small Lymphocytic Lymphoma	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	62	118	228	disease
C0857490	Granulocyte count			Laboratory Procedure			GWASCAT	100	150	333	phenotype
C0869220	Adverse effects, not elsewhere classified			Injury or Poisoning			GWASCAT	55	54	160	disease
C0871470	Systolic Pressure			Clinical Attribute			GWASCAT	843	1931	607	phenotype
C0876994	Cardiotoxicity	C23;C25;C14;C26	   Pathological Conditions, Signs and Symptoms;    Chemically-Induced Disorders;    Cardiovascular Diseases;    Wounds and Injuries	Injury or Poisoning			GWASCAT	1	1	4	disease
C0877015	Pelvic Organ Prolapse	C23	   Pathological Conditions, Signs and Symptoms	Disease or Syndrome	Abnormality of the digestive system		GWASCAT	10	17	49	disease
C0877445	Candidemia	C23;C01	   Pathological Conditions, Signs and Symptoms;    Infections	Disease or Syndrome			GWASCAT	1	1	1	disease
C0883409	Cardiac troponin I measurement			Laboratory Procedure			GWASCAT	11	14	26	phenotype
C0917799	Hypersomnia	C10;F03	   Nervous System Diseases;    Mental Disorders	Disease or Syndrome	Abnormality of the nervous system		GWASCAT	3	5	7	disease
C0919267	ovarian neoplasm	C04;C13;C19	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Endocrine System Diseases	Neoplastic Process	Abnormality of the genitourinary system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	61	106	279	disease
C0919677	Protein C measurement			Laboratory Procedure			GWASCAT	9	19	92	phenotype
C0919678	Protein S measurement			Laboratory Procedure			GWASCAT	1	1	2	phenotype
C0919758	Vitamin D measurement			Laboratory Procedure			GWASCAT	14	49	27	phenotype
C0920350	Autoimmune thyroiditis	C20;C19	   Immune System Diseases;    Endocrine System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	44	66	203	disease
C0936223	Metastatic Prostate Carcinoma	C04;C12	   Neoplasms;    Male Urogenital Diseases	Neoplastic Process			GWASCAT	2	2	8	disease
C0948008	Ischemic stroke	C10;C14	   Nervous System Diseases;    Cardiovascular Diseases	Disease or Syndrome	Abnormality of the nervous system; Abnormality of the cardiovascular system	disease of anatomical entity	GWASCAT	51	89	289	disease
C0948089	Acute Coronary Syndrome	C14	   Cardiovascular Diseases	Disease or Syndrome			GWASCAT	23	43	102	disease
C0948201	Alloimmunisation			Disease or Syndrome			GWASCAT	2	2	10	disease
C0948364	Periprosthetic osteolysis	C05	   Musculoskeletal Diseases	Pathologic Function			GWASCAT	5	6	18	phenotype
C0949272	IIeocolitis	C06	   Digestive System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	1	1	1	disease
C0949570	Wheat Hypersensitivity	C20	   Immune System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	1	2	29	disease
C1096202	Lipoprotein (a) measurement			Laboratory Procedure			GWASCAT	23	103	112	phenotype
C1140680	Malignant neoplasm of ovary	C04;C13;C19	   Neoplasms;    Female Urogenital Diseases and Pregnancy Complications;    Endocrine System Diseases	Neoplastic Process	Abnormality of the genitourinary system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	1	1	4	disease
C1142098	Vitamin E Assay			Laboratory Procedure			GWASCAT	3	4	43	phenotype
C1142127	Pneumococcal bacteraemia	C01	   Infections	Disease or Syndrome			GWASCAT	2	3	1	disease
C1142166	Brugada Syndrome (disorder)	C16;C14	   Congenital, Hereditary, and Neonatal Diseases and Abnormalities;    Cardiovascular Diseases	Disease or Syndrome		genetic disease; disease of anatomical entity	GWASCAT	2	3	8	disease
C1167820	Beta globulin measurement			Laboratory Procedure			GWASCAT	1	1	8	phenotype
C1167912	Coagulation factor measurement			Laboratory Procedure			GWASCAT	14	26	87	phenotype
C1168438	Protein C antigen measurement			Laboratory Procedure			GWASCAT	9	19	92	phenotype
C1168443	Pseudocholinesterase Measurement			Laboratory Procedure			GWASCAT	3	3	6	phenotype
C1258104	Diffuse Scleroderma	C17	   Skin and Connective Tissue Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	1	3	7	disease
C1261287	Stenosis	C23	   Pathological Conditions, Signs and Symptoms	Pathologic Function			GWASCAT	1	1	15	phenotype
C1261502	Finding of Mean Corpuscular Hemoglobin			Finding			GWASCAT	633	1159	474	phenotype
C1262886	Osteoprotegerin test			Laboratory Procedure			GWASCAT	3	4	9	phenotype
C1263846	Attention deficit hyperactivity disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	76	154	222	disease
C1266708	Polybrominated biphenyl measurement			Laboratory Procedure			GWASCAT	12	14	74	phenotype
C1269683	Major Depressive Disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction		disease of mental health	GWASCAT	374	963	471	disease
C1270972	Mild cognitive disorder	F03	   Mental Disorders	Mental or Behavioral Dysfunction			GWASCAT	1	2	8	disease
C1272321	Autoantibody measurement			Laboratory Procedure			GWASCAT	3	5	132	phenotype
C1274700	Postmenopausal frontal fibrosing alopecia			Disease or Syndrome			GWASCAT	6	13	118	disease
C1277709	Transferrin saturation measurement			Laboratory Procedure			GWASCAT	26	36	107	phenotype
C1278049	Serum gamma-glutamyl transferase measurement			Laboratory Procedure			GWASCAT	53	105	182	phenotype
C1281901	Fatty acid measurement			Laboratory Procedure			GWASCAT	50	116	213	group
C1281911	Hemoglobin A measurement			Laboratory Procedure			GWASCAT	6	6	34	phenotype
C1283048	Iron binding capacity total measurement			Laboratory Procedure			GWASCAT	20	35	135	phenotype
C1285654	Memory performance			Mental Process			GWASCAT	39	64	110	phenotype
C1295176	Leptin measurement			Laboratory Procedure			GWASCAT	5	9	113	phenotype
C1302401	Adenoma of large intestine	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process			GWASCAT	65	114	232	disease
C1304746	RDW - Red blood cell distribution width result			Laboratory or Test Result			GWASCAT	593	988	452	phenotype
C1305849	Diastolic blood pressure measurement			Diagnostic Procedure			GWASCAT	26	53	171	phenotype
C1305855	Body mass index			Clinical Attribute			GWASCAT	1014	2689	631	phenotype
C1306557	Chronic venous insufficiency	C14	   Cardiovascular Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	3	3	24	disease
C1306620	Systolic blood pressure measurement			Diagnostic Procedure			GWASCAT	35	60	166	phenotype
C1314691	Age at menarche	F01	   Behavior and Behavior Mechanisms	Finding			GWASCAT	265	548	381	phenotype
C1318233	immunoglobulin G index			Finding			GWASCAT	1	4	3	phenotype
C1318312	Serum iron measurement			Laboratory Procedure			GWASCAT	17	25	116	phenotype
C1318315	Serum zinc measurement			Laboratory Procedure			GWASCAT	6	6	14	phenotype
C1318660	Anti-cyclic citrullinated peptide antibody level			Laboratory Procedure			GWASCAT	2	1	43	phenotype
C1318973	Staphylococcus aureus infection	C01	   Infections	Disease or Syndrome			GWASCAT	1	4	16	disease
C1319315	Adenocarcinoma of large intestine	C06;C04	   Digestive System Diseases;    Neoplasms	Neoplastic Process	Abnormality of the digestive system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	165	368	350	disease
C1319853	Asthma, Aspirin-Induced	C08;C20;C25	   Respiratory Tract Diseases;    Immune System Diseases;    Chemically-Induced Disorders	Disease or Syndrome	Abnormality of the immune system; Abnormality of the respiratory system		GWASCAT	1	1	16	disease
C1328319	Ankle brachial pressure index (observable entity)			Clinical Attribute			GWASCAT	3	8	73	phenotype
C1332355	Autoimmune Hepatitis with Centrilobular Necrosis			Disease or Syndrome		disease of anatomical entity	GWASCAT	5	3	149	disease
C1333422	epithelioid cell intraocular melanoma	C04;C11	   Neoplasms;    Eye Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	1	2	1	disease
C1333763	Gastric Cardia Carcinoma			Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	1	1	2	disease
C1334633	Mature B-Cell Neoplasm	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	6	13	79	disease
C1335167	Ovarian Mucinous Adenocarcinoma	C04	   Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	6	7	25	disease
C1335177	Ovarian Serous Adenocarcinoma	C04	   Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	34	58	246	disease
C1336708	Testicular Germ Cell Tumor	C04;C12;C19	   Neoplasms;    Male Urogenital Diseases;    Endocrine System Diseases	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	43	57	106	disease
C1337013	Differentiated Thyroid Gland Carcinoma			Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	5	8	46	disease
C1367654	Marginal Zone B-Cell Lymphoma	C04;C20;C15	   Neoplasms;    Immune System Diseases;    Hemic and Lymphatic Diseases	Neoplastic Process			GWASCAT	11	15	115	disease
C1384600	Systemic onset juvenile chronic arthritis	C17;C05;C20	   Skin and Connective Tissue Diseases;    Musculoskeletal Diseases;    Immune System Diseases	Disease or Syndrome			GWASCAT	27	41	195	disease
C1384666	hearing impairment	C23;C10;C09	   Pathological Conditions, Signs and Symptoms;    Nervous System Diseases;    Otorhinolaryngologic Diseases	Disease or Syndrome	Abnormality of the ear	disease of anatomical entity	GWASCAT	1	2	7	phenotype
C1443016	Estradiol level result			Laboratory or Test Result			GWASCAT	12	33	61	phenotype
C1445957	Serum total cholesterol measurement			Laboratory Procedure			GWASCAT	308	766	459	phenotype
C1446147	IgG Index (procedure)			Laboratory Procedure			GWASCAT	1	4	3	phenotype
C1449563	Cardiomyopathy, Familial Idiopathic	C14	   Cardiovascular Diseases	Disease or Syndrome		genetic disease; disease of anatomical entity	GWASCAT	2	5	3	disease
C1456144	Dental caries pit and fissure	C07	   Stomatognathic Diseases	Disease or Syndrome			GWASCAT	2	6	11	disease
C1456145	Dental caries of smooth surface	C07	   Stomatognathic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	7	12	13	disease
C1510586	Autism Spectrum Disorders	F03	   Mental Disorders	Mental or Behavioral Dysfunction	Abnormality of the nervous system	disease of mental health	GWASCAT	2	5	15	disease
C1513302	Mild Adverse Event			Finding			GWASCAT	5	7	8	phenotype
C1516974	Estrogen Receptor Status - Clinical Trial Eligibility Criteria			Clinical Attribute			GWASCAT	1	2	23	phenotype
C1518693	Clear cell adenocarcinoma of ovary	C04	   Neoplasms	Neoplastic Process		disease of anatomical entity; disease of cellular proliferation	GWASCAT	1	2	29	disease
C1518922	peak expiratory flow (procedure)			Laboratory Procedure			GWASCAT	74	119	233	phenotype
C1519383	Smoking Behaviors	F01	   Behavior and Behavior Mechanisms	Individual Behavior			GWASCAT	218	426	351	phenotype
C1527304	Allergic Reaction	C20	   Immune System Diseases	Pathologic Function		disease of anatomical entity	GWASCAT	104	234	312	phenotype
C1527336	Sjogren's Syndrome	C11;C17;C05;C20;C07	   Eye Diseases;    Skin and Connective Tissue Diseases;    Musculoskeletal Diseases;    Immune System Diseases;    Stomatognathic Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	14	29	91	disease
C1531500	Alpha carotene level			Laboratory Procedure			GWASCAT	1	3	17	phenotype
C1531624	Cardioembolic stroke			Disease or Syndrome			GWASCAT	6	11	48	disease
C1536085	Geographic Atrophy	C11	   Eye Diseases	Disease or Syndrome	Abnormality of the eye		GWASCAT	39	57	184	disease
C1561643	Chronic Kidney Diseases	C13;C12	   Female Urogenital Diseases and Pregnancy Complications;    Male Urogenital Diseases	Disease or Syndrome	Abnormality of the genitourinary system	disease of anatomical entity	GWASCAT	35	97	155	group
C1611184	Calcification of coronary artery	C18;C14	   Nutritional and Metabolic Diseases;    Cardiovascular Diseases	Pathologic Function	Abnormality of the skeletal system; Abnormality of the cardiovascular system		GWASCAT	45	84	227	phenotype
C1619716	Cystatin C measurement			Laboratory Procedure			GWASCAT	2	8	100	phenotype
C1621958	Glioblastoma Multiforme	C04	   Neoplasms	Neoplastic Process	Abnormality of the nervous system; Neoplasm	disease of anatomical entity; disease of cellular proliferation	GWASCAT	13	20	120	disease
C1622502	Portal cirrhosis	C23;C06	   Pathological Conditions, Signs and Symptoms;    Digestive System Diseases	Disease or Syndrome		disease of anatomical entity	GWASCAT	3	4	46	phenotype
