,ptm,iptm,Model,Pair_str,model_conf,Background
2,0.28,0.2,2,63898_93624,0.21600000000000003,All random
3,0.4,0.17,3,89848_5886,0.21600000000000003,All random
2,0.48,0.15,2,2968_246243,0.216,All random
1,0.48,0.15,1,10480_10901,0.216,All random
2,0.48,0.15,2,55752_91408,0.216,All random
1,0.36,0.18,1,80254_5423,0.21599999999999997,All random
0,0.36,0.18,0,1540_80254,0.21599999999999997,All random
3,0.36,0.18,3,199692_83394,0.21599999999999997,All random
1,0.36,0.18,1,55004_8844,0.21599999999999997,All random
1,0.36,0.18,1,64146_8243,0.21599999999999997,All random
0,0.36,0.18,0,10087_4350,0.21599999999999997,All random
4,0.27,0.2,4,84191_26505,0.21400000000000002,All random
3,0.23,0.21,3,55837_151050,0.21400000000000002,All random
2,0.63,0.11,2,5631_84693,0.21400000000000002,All random
0,0.39,0.17,0,54913_9252,0.21400000000000002,All random
3,0.39,0.17,3,7247_84895,0.21400000000000002,All random
4,0.31,0.19,4,10775_7027,0.21400000000000002,All random
0,0.23,0.21,0,10092_80254,0.21400000000000002,All random
1,0.43,0.16,1,26512_642,0.21400000000000002,All random
3,0.31,0.19,3,55964_83860,0.21400000000000002,All random
3,0.51,0.14,3,60436_2968,0.21400000000000002,All random
1,0.39,0.17,1,5137_2965,0.21400000000000002,All random
0,0.47,0.15,0,57405_51377,0.214,All random
2,0.47,0.15,2,10775_4350,0.214,All random
3,0.59,0.12,3,5634_50674,0.214,All random
3,0.59,0.12,3,90864_158,0.214,All random
1,0.35,0.18,1,3799_5885,0.21399999999999997,All random
3,0.35,0.18,3,3799_65982,0.21399999999999997,All random
0,0.35,0.18,0,967_26574,0.21399999999999997,All random
2,0.38,0.17,2,55142_10087,0.21200000000000002,All random
0,0.3,0.19,0,2319_254102,0.21200000000000002,All random
4,0.38,0.17,4,83608_84693,0.21200000000000002,All random
3,0.46,0.15,3,54438_55975,0.21200000000000002,All random
0,0.38,0.17,0,5937_56943,0.21200000000000002,All random
3,0.3,0.19,3,3397_7584,0.21200000000000002,All random
2,0.5,0.14,2,3925_27429,0.21200000000000002,All random
4,0.38,0.17,4,2965_51704,0.21200000000000002,All random
1,0.46,0.15,1,5137_51382,0.21200000000000002,All random
4,0.46,0.15,4,55752_10239,0.21200000000000002,All random
0,0.54,0.13,0,1917_28972,0.21200000000000002,All random
3,0.3,0.19,3,7125_26127,0.21200000000000002,All random
2,0.26,0.2,2,10902_7050,0.21200000000000002,All random
4,0.42,0.16,4,84317_9079,0.21200000000000002,All random
4,0.5,0.14,4,10094_6383,0.21200000000000002,All random
3,0.38,0.17,3,26052_79758,0.21200000000000002,All random
2,0.54,0.13,2,7746_56267,0.21200000000000002,All random
0,0.3,0.19,0,23528_7247,0.21200000000000002,All random
2,0.38,0.17,2,8436_4350,0.21200000000000002,All random
3,0.34,0.18,3,29066_115939,0.212,All random
4,0.34,0.18,4,118_4209,0.212,All random
4,0.34,0.18,4,1666_5514,0.212,All random
1,0.34,0.18,1,5937_6229,0.212,All random
1,0.37,0.17,1,29066_57132,0.21000000000000002,All random
0,0.37,0.17,0,132320_1022,0.21000000000000002,All random
0,0.49,0.14,0,389541_10248,0.21000000000000002,All random
3,0.37,0.17,3,6617_10907,0.21000000000000002,All random
0,0.25,0.2,0,23764_5514,0.21000000000000002,All random
3,0.41,0.16,3,23157_7374,0.21000000000000002,All random
0,0.49,0.14,0,23764_8767,0.21000000000000002,All random
1,0.21,0.21,1,23186_151050,0.21000000000000002,All random
0,0.49,0.14,0,57213_51501,0.21000000000000002,All random
4,0.33,0.18,4,23369_92922,0.21,All random
4,0.33,0.18,4,64795_56257,0.21,All random
1,0.36,0.17,1,10155_8563,0.20800000000000002,All random
2,0.36,0.17,2,5886_9535,0.20800000000000002,All random
4,0.44,0.15,4,55964_4440,0.20800000000000002,All random
4,0.4,0.16,4,3925_54620,0.20800000000000002,All random
0,0.28,0.19,0,163071_55722,0.20800000000000002,All random
4,0.44,0.15,4,4528_93426,0.20800000000000002,All random
2,0.24,0.2,2,10691_6383,0.20800000000000002,All random
2,0.24,0.2,2,64288_9819,0.20800000000000002,All random
2,0.32,0.18,2,118_9819,0.208,All random
4,0.32,0.18,4,51150_26507,0.208,All random
4,0.23,0.2,4,120534_26058,0.20600000000000004,All random
3,0.23,0.2,3,3298_388115,0.20600000000000004,All random
3,0.23,0.2,3,221504_151050,0.20600000000000004,All random
2,0.47,0.14,2,528_9079,0.20600000000000002,All random
1,0.27,0.19,1,149603_80143,0.20600000000000002,All random
1,0.39,0.16,1,112574_4440,0.20600000000000002,All random
4,0.43,0.15,4,10243_7881,0.20600000000000002,All random
4,0.35,0.17,4,80011_163702,0.20600000000000002,All random
0,0.35,0.17,0,27335_23186,0.20600000000000002,All random
1,0.39,0.16,1,4747_6242,0.20600000000000002,All random
3,0.35,0.17,3,129285_10212,0.20600000000000002,All random
1,0.27,0.19,1,6871_2965,0.20600000000000002,All random
0,0.39,0.16,0,51566_23176,0.20600000000000002,All random
3,0.31,0.18,3,3925_54762,0.206,All random
4,0.31,0.18,4,28988_113178,0.206,All random
2,0.42,0.15,2,4528_6888,0.20400000000000001,All random
4,0.26,0.19,4,7554_147339,0.20400000000000001,All random
4,0.38,0.16,4,56650_54531,0.20400000000000001,All random
1,0.26,0.19,1,83930_10691,0.20400000000000001,All random
0,0.46,0.14,0,2968_23016,0.20400000000000001,All random
4,0.42,0.15,4,7323_9079,0.20400000000000001,All random
2,0.34,0.17,2,2764_56970,0.20400000000000001,All random
2,0.42,0.15,2,10243_2639,0.20400000000000001,All random
1,0.38,0.16,1,945_112574,0.20400000000000001,All random
3,0.38,0.16,3,199692_5097,0.20400000000000001,All random
1,0.3,0.18,1,27297_6871,0.204,All random
0,0.3,0.18,0,200081_9411,0.204,All random
3,0.3,0.18,3,3725_7917,0.204,All random
0,0.21,0.2,0,10569_10036,0.20200000000000004,All random
2,0.45,0.14,2,4747_153129,0.202,All random
2,0.33,0.17,2,5414_7871,0.202,All random
4,0.33,0.17,4,54531_120,0.202,All random
2,0.49,0.13,2,2764_10467,0.202,All random
3,0.41,0.15,3,6383_9079,0.202,All random
2,0.44,0.14,2,138716_51282,0.2,All random
1,0.24,0.19,1,79983_2671,0.2,All random
0,0.4,0.15,0,64320_23788,0.2,All random
2,0.36,0.16,2,55311_246243,0.2,All random
4,0.28,0.18,4,4605_28972,0.2,All random
0,0.24,0.19,0,130617_23421,0.2,All random
0,0.36,0.16,0,1902_132320,0.2,All random
0,0.23,0.19,0,6874_83540,0.19800000000000004,All random
1,0.27,0.18,1,4331_80824,0.198,All random
3,0.27,0.18,3,11016_7536,0.198,All random
3,0.35,0.16,3,81839_58513,0.198,All random
4,0.27,0.18,4,1386_10043,0.198,All random
0,0.38,0.15,0,26052_54765,0.196,All random
2,0.3,0.17,2,83987_27309,0.196,All random
2,0.38,0.15,2,387032_10901,0.196,All random
3,0.38,0.15,3,83741_51501,0.196,All random
0,0.38,0.15,0,8667_54926,0.196,All random
4,0.38,0.15,4,79983_81839,0.196,All random
0,0.3,0.17,0,55787_8844,0.196,All random
0,0.46,0.13,0,54926_10467,0.196,All random
3,0.25,0.18,3,1211_10782,0.194,All random
3,0.29,0.17,3,26505_130617,0.194,All random
1,0.33,0.16,1,149603_10248,0.194,All random
4,0.25,0.18,4,329_56937,0.194,All random
3,0.41,0.14,3,64288_8801,0.194,All random
3,0.29,0.17,3,7746_351,0.194,All random
3,0.4,0.14,3,27102_4331,0.19200000000000003,All random
2,0.2,0.19,2,63967_56970,0.19200000000000003,All random
0,0.4,0.14,0,9741_51501,0.19200000000000003,All random
4,0.24,0.18,4,79657_23186,0.192,All random
3,0.36,0.15,3,64320_54069,0.192,All random
3,0.28,0.17,3,4010_83930,0.192,All random
0,0.36,0.15,0,64795_989,0.192,All random
0,0.28,0.17,0,130617_93624,0.192,All random
1,0.36,0.15,1,6878_5692,0.192,All random
2,0.32,0.16,2,5870_7584,0.192,All random
3,0.39,0.14,3,2319_5170,0.19000000000000003,All random
0,0.27,0.17,0,51501_26205,0.19,All random
3,0.47,0.12,3,10480_126789,0.19,All random
4,0.47,0.12,4,3704_8667,0.19,All random
0,0.27,0.17,0,51317_54762,0.19,All random
4,0.35,0.15,4,55330_529,0.19,All random
4,0.27,0.17,4,7050_10043,0.19,All random
4,0.23,0.18,4,7584_54812,0.19,All random
1,0.3,0.16,1,23186_113178,0.188,All random
2,0.26,0.17,2,5629_8548,0.188,All random
1,0.42,0.13,1,129401_657,0.188,All random
1,0.42,0.13,1,23764_967,0.188,All random
1,0.3,0.16,1,10155_51759,0.188,All random
4,0.26,0.17,4,387032_1471,0.188,All random
3,0.3,0.16,3,57120_54913,0.188,All random
0,0.26,0.17,0,387032_51759,0.188,All random
0,0.3,0.16,0,124401_199692,0.188,All random
0,0.25,0.17,0,30832_57405,0.186,All random
3,0.37,0.14,3,81628_115939,0.186,All random
0,0.25,0.17,0,10043_7871,0.186,All random
2,0.36,0.14,2,129285_54994,0.184,All random
2,0.28,0.16,2,3575_54812,0.184,All random
2,0.24,0.17,2,7528_26205,0.184,All random
4,0.24,0.17,4,28988_9586,0.184,All random
4,0.39,0.13,4,83741_7247,0.18200000000000002,All random
2,0.23,0.17,2,3297_50674,0.18200000000000002,All random
2,0.23,0.17,2,54556_4209,0.18200000000000002,All random
3,0.23,0.17,3,65982_26205,0.18200000000000002,All random
3,0.27,0.16,3,56970_112939,0.182,All random
4,0.27,0.16,4,5629_81628,0.182,All random
1,0.27,0.16,1,93343_7554,0.182,All random
1,0.34,0.14,1,57146_10542,0.18000000000000002,All random
4,0.34,0.14,4,6879_967,0.18000000000000002,All random
2,0.26,0.16,2,64288_23421,0.18,All random
3,0.21,0.17,3,23186_64219,0.17800000000000002,All random
1,0.33,0.14,1,1176_115106,0.17800000000000002,All random
0,0.37,0.13,0,3925_5509,0.178,All random
0,0.29,0.15,0,23580_54762,0.178,All random
1,0.25,0.16,1,55837_26205,0.178,All random
2,0.37,0.13,2,5573_9741,0.178,All random
2,0.29,0.15,2,10155_54785,0.178,All random
3,0.25,0.16,3,120534_54531,0.178,All random
3,0.25,0.16,3,55663_56970,0.178,All random
4,0.25,0.16,4,10467_64793,0.178,All random
4,0.32,0.14,4,51382_112939,0.17600000000000002,All random
1,0.32,0.14,1,6879_529,0.17600000000000002,All random
2,0.32,0.14,2,93426_79780,0.17600000000000002,All random
1,0.28,0.15,1,64288_342538,0.176,All random
1,0.23,0.16,1,6867_79047,0.17400000000000002,All random
0,0.23,0.16,0,2319_64793,0.17400000000000002,All random
2,0.23,0.16,2,6938_7871,0.17400000000000002,All random
1,0.23,0.16,1,199692_81628,0.17400000000000002,All random
1,0.46,0.1,1,5692_28972,0.17200000000000004,All random
2,0.3,0.14,2,55684_54785,0.17200000000000001,All random
1,0.26,0.15,1,55311_9140,0.172,All random
1,0.21,0.16,1,5887_27246,0.17,All random
0,0.32,0.13,0,23468_83608,0.168,All random
2,0.32,0.13,2,91408_57132,0.168,All random
2,0.2,0.16,2,8669_11016,0.168,All random
4,0.24,0.15,4,221504_11016,0.16799999999999998,All random
3,0.24,0.15,3,1386_221504,0.16799999999999998,All random
2,0.23,0.15,2,54785_10782,0.166,All random
2,0.31,0.13,2,1211_79047,0.166,All random
4,0.23,0.15,4,10569_132320,0.166,All random
0,0.26,0.14,0,23764_79980,0.16400000000000003,All random
1,0.34,0.12,1,3925_54069,0.164,All random
3,0.46,0.09,3,3704_80145,0.164,All random
1,0.21,0.15,1,1386_6835,0.162,All random
3,0.21,0.15,3,9586_147339,0.162,All random
3,0.37,0.11,3,2671_51501,0.162,All random
1,0.28,0.13,1,55330_83930,0.16000000000000003,All random
1,0.24,0.14,1,200081_51759,0.16000000000000003,All random
1,0.2,0.15,1,1386_51317,0.16,All random
4,0.23,0.14,4,7528_26127,0.15800000000000003,All random
4,0.23,0.14,4,65982_81628,0.15800000000000003,All random
0,0.23,0.14,0,754_3297,0.15800000000000003,All random
0,0.22,0.14,0,3726_58493,0.15600000000000003,All random
3,0.34,0.11,3,83608_573,0.15600000000000003,All random
2,0.22,0.14,2,819_51759,0.15600000000000003,All random
2,0.25,0.13,2,11016_83540,0.15400000000000003,All random
3,0.24,0.13,3,80301_23580,0.15200000000000002,All random
1,0.27,0.12,1,83930_57132,0.15000000000000002,All random
2,0.22,0.13,2,8436_80152,0.14800000000000002,All random
1,0.34,0.1,1,3704_2319,0.14800000000000002,All random
4,0.3,0.11,4,57405_79047,0.14800000000000002,All random
0,0.34,0.1,0,3925_79047,0.14800000000000002,All random
4,0.25,0.12,4,9650_115207,0.14600000000000002,All random
1,0.33,0.09,1,6229_28972,0.138,All random
4,0.2,0.12,4,23186_9167,0.136,All random
0,0.24,0.11,0,100505876_64426,0.136,All random
3,0.22,0.11,3,10569_3925,0.132,All random
1,0.16,0.12,1,9167_26093,0.128,All random
0,0.25,0.09,0,100505876_26097,0.122,All random
1,0.23,0.07,1,57146_23468,0.10200000000000001,All random
2,0.87,0.85,2,89978_2720,0.8540000000000001,No edges random
3,0.81,0.78,3,55140_376267,0.7860000000000001,No edges random
4,0.84,0.72,4,57111_51148,0.744,No edges random
1,0.68,0.74,1,52_23047,0.728,No edges random
3,0.59,0.75,3,92104_65982,0.7180000000000001,No edges random
2,0.49,0.77,2,8436_55839,0.7140000000000001,No edges random
4,0.63,0.73,4,6936_54438,0.71,No edges random
0,0.35,0.79,0,100505385_138716,0.7020000000000001,No edges random
0,0.49,0.75,0,11044_150737,0.6980000000000001,No edges random
1,0.71,0.69,1,9946_55004,0.694,No edges random
1,0.68,0.69,1,84191_2256,0.688,No edges random
2,0.39,0.75,2,55860_26058,0.6780000000000002,No edges random
3,0.65,0.68,3,27309_150737,0.674,No edges random
0,0.45,0.73,0,129285_102157402,0.6739999999999999,No edges random
3,0.56,0.7,3,55166_5870,0.6719999999999999,No edges random
1,0.44,0.73,1,10239_54443,0.6719999999999999,No edges random
0,0.83,0.63,0,54438_136319,0.67,No edges random
4,0.5,0.71,4,26084_51560,0.6679999999999999,No edges random
1,0.42,0.73,1,1176_147339,0.6679999999999999,No edges random
0,0.42,0.72,0,124401_56943,0.6599999999999999,No edges random
3,0.69,0.64,3,1176_150737,0.65,No edges random
2,0.5,0.68,2,5566_23143,0.644,No edges random
1,0.57,0.66,1,23016_10379,0.642,No edges random
2,0.82,0.58,2,23390_1373,0.628,No edges random
1,0.46,0.67,1,200081_1116,0.628,No edges random
3,0.4,0.68,3,11158_388115,0.6240000000000001,No edges random
1,0.62,0.62,1,56267_5170,0.62,No edges random
2,0.45,0.66,2,8841_54620,0.618,No edges random
3,0.29,0.7,3,2256_85456,0.6179999999999999,No edges random
0,0.48,0.65,0,100505385_90864,0.616,No edges random
3,0.71,0.59,3,151963_10542,0.614,No edges random
3,0.61,0.61,3,7384_27309,0.61,No edges random
3,0.41,0.66,3,10325_375790,0.61,No edges random
4,0.65,0.59,4,9652_1471,0.602,No edges random
1,0.76,0.56,1,54331_64359,0.6000000000000001,No edges random
2,0.6,0.6,2,151393_3276,0.6,No edges random
1,0.69,0.57,1,64146_57609,0.594,No edges random
3,0.44,0.63,3,151963_7090,0.592,No edges random
2,0.43,0.63,2,2246_9204,0.59,No edges random
1,0.38,0.64,1,11099_91875,0.5880000000000001,No edges random
0,0.44,0.62,0,1902_2073,0.584,No edges random
4,0.7,0.55,4,50614_3030,0.5800000000000001,No edges random
2,0.46,0.61,2,23143_2639,0.58,No edges random
4,0.39,0.62,4,23162_727936,0.5740000000000001,No edges random
1,0.39,0.62,1,8667_6867,0.5740000000000001,No edges random
3,0.43,0.61,3,124401_51072,0.574,No edges random
2,0.77,0.52,2,9270_4864,0.5700000000000001,No edges random
3,0.61,0.56,3,55860_10474,0.5700000000000001,No edges random
3,0.61,0.56,3,889_51654,0.5700000000000001,No edges random
0,0.33,0.62,0,11215_653333,0.562,No edges random
1,0.33,0.62,1,283149_6888,0.562,No edges random
0,0.55,0.56,0,284403_10907,0.558,No edges random
2,0.75,0.51,2,51186_150737,0.558,No edges random
4,0.54,0.56,4,163882_91289,0.556,No edges random
2,0.46,0.58,2,52_115939,0.5559999999999999,No edges random
2,0.46,0.58,2,26118_9600,0.5559999999999999,No edges random
4,0.73,0.51,4,2079_158219,0.554,No edges random
4,0.32,0.61,4,83860_376267,0.552,No edges random
3,0.4,0.59,3,1859_55839,0.552,No edges random
0,0.44,0.58,0,79784_145553,0.5519999999999999,No edges random
3,0.55,0.55,3,55188_11329,0.55,No edges random
2,0.7,0.51,2,55860_196483,0.548,No edges random
1,0.42,0.58,1,89848_7428,0.5479999999999999,No edges random
1,0.78,0.48,1,54205_25809,0.54,No edges random
4,0.5,0.55,4,23016_6871,0.54,No edges random
1,0.56,0.53,1,55647_219790,0.536,No edges random
2,0.55,0.53,2,79871_54704,0.534,No edges random
1,0.39,0.57,1,53938_120,0.534,No edges random
0,0.49,0.54,0,27258_84895,0.53,No edges random
3,0.76,0.47,3,9354_138716,0.528,No edges random
4,0.68,0.49,4,7407_26118,0.528,No edges random
4,0.56,0.52,4,57226_219790,0.528,No edges random
4,0.75,0.47,4,80169_8089,0.526,No edges random
4,0.47,0.54,4,64093_5423,0.526,No edges random
2,0.39,0.56,2,6275_2073,0.526,No edges random
4,0.46,0.54,4,131076_3799,0.524,No edges random
1,0.34,0.57,1,10775_84159,0.524,No edges random
4,0.49,0.53,4,960_10427,0.522,No edges random
0,0.45,0.54,0,51163_93643,0.522,No edges random
2,0.63,0.49,2,2491_138716,0.518,No edges random
0,0.82,0.44,0,55647_91039,0.516,No edges random
0,0.53,0.51,0,91289_7049,0.514,No edges random
0,0.57,0.5,0,8841_219790,0.514,No edges random
2,0.56,0.5,2,889_10171,0.512,No edges random
0,0.56,0.5,0,2246_945,0.512,No edges random
1,0.3,0.56,1,7917_9535,0.508,No edges random
2,0.54,0.5,2,6936_84959,0.508,No edges random
1,0.58,0.49,1,7384_64426,0.508,No edges random
2,0.37,0.54,2,93343_159195,0.506,No edges random
3,0.49,0.51,3,83741_10467,0.506,No edges random
4,0.32,0.55,4,159195_245972,0.504,No edges random
3,0.42,0.52,3,5073_9204,0.5,No edges random
0,0.5,0.5,0,85450_9361,0.5,No edges random
4,0.65,0.46,4,6385_23390,0.49800000000000005,No edges random
2,0.57,0.48,2,57111_54994,0.498,No edges random
3,0.57,0.48,3,151963_27429,0.498,No edges random
3,0.38,0.52,3,118_54913,0.49200000000000005,No edges random
4,0.48,0.49,4,5629_6877,0.488,No edges random
3,0.43,0.5,3,51534_80011,0.48600000000000004,No edges random
1,0.62,0.45,1,51186_79184,0.48400000000000004,No edges random
1,0.36,0.51,1,51566_80254,0.48000000000000004,No edges random
1,0.44,0.49,1,8667_81628,0.48000000000000004,No edges random
2,0.52,0.47,2,11044_2314,0.48,No edges random
3,0.3,0.52,3,283149_90864,0.47600000000000003,No edges random
2,0.62,0.44,2,51072_23532,0.47600000000000003,No edges random
2,0.6,0.44,2,80301_25821,0.47200000000000003,No edges random
0,0.51,0.46,0,51317_6773,0.4700000000000001,No edges random
3,0.43,0.48,3,26058_150737,0.47000000000000003,No edges random
2,0.62,0.43,2,23564_23582,0.468,No edges random
1,0.41,0.48,1,8798_25959,0.466,No edges random
2,0.29,0.51,2,84191_11215,0.466,No edges random
2,0.37,0.49,2,79954_9204,0.466,No edges random
2,0.45,0.47,2,10171_132320,0.466,No edges random
4,0.27,0.51,4,26122_51367,0.462,No edges random
1,0.31,0.5,1,51072_85456,0.462,No edges random
4,0.5,0.45,4,63898_57805,0.4600000000000001,No edges random
1,0.49,0.45,1,10043_2639,0.4580000000000001,No edges random
3,0.33,0.49,3,159195_51150,0.458,No edges random
1,0.29,0.5,1,9819_7428,0.458,No edges random
0,0.57,0.43,0,51072_27246,0.458,No edges random
4,0.37,0.48,4,102157402_26093,0.458,No edges random
4,0.72,0.39,4,57130_4246,0.45600000000000007,No edges random
4,0.36,0.48,4,7384_254102,0.456,No edges random
1,0.28,0.5,1,220001_83608,0.456,No edges random
0,0.47,0.45,0,11004_7536,0.45400000000000007,No edges random
4,0.59,0.42,4,4643_27246,0.454,No edges random
4,0.27,0.5,4,80223_79172,0.454,No edges random
1,0.34,0.48,1,10902_64320,0.452,No edges random
4,0.73,0.38,4,25852_83699,0.45000000000000007,No edges random
4,0.61,0.41,4,50617_64359,0.45,No edges random
0,0.37,0.47,0,79983_5414,0.45,No edges random
0,0.52,0.43,0,9946_51704,0.44800000000000006,No edges random
1,0.52,0.43,1,9701_10907,0.44800000000000006,No edges random
0,0.4,0.46,0,80325_9819,0.44800000000000006,No edges random
2,0.39,0.46,2,3032_55320,0.44600000000000006,No edges random
1,0.51,0.43,1,3305_11129,0.44600000000000006,No edges random
4,0.35,0.47,4,1116_81792,0.446,No edges random
1,0.35,0.47,1,9546_10542,0.446,No edges random
2,0.26,0.49,2,79983_28956,0.444,No edges random
0,0.41,0.45,0,51072_56134,0.44200000000000006,No edges random
2,0.37,0.46,2,5971_7428,0.44200000000000006,No edges random
3,0.61,0.4,3,55188_2968,0.44200000000000006,No edges random
1,0.32,0.47,1,54926_9819,0.44,No edges random
0,0.43,0.44,0,4528_26507,0.43800000000000006,No edges random
3,0.31,0.47,3,80314_57213,0.438,No edges random
0,0.62,0.39,0,80169_96764,0.43600000000000005,No edges random
1,0.38,0.45,1,25959_653333,0.43600000000000005,No edges random
0,0.3,0.47,0,55904_10556,0.436,No edges random
3,0.45,0.43,3,11158_57695,0.43400000000000005,No edges random
0,0.37,0.45,0,25809_9411,0.43400000000000005,No edges random
0,0.56,0.4,0,94032_4548,0.43200000000000005,No edges random
1,0.44,0.43,1,5137_7936,0.43200000000000005,No edges random
3,0.48,0.42,3,118_84067,0.43200000000000005,No edges random
1,0.4,0.44,1,54521_55100,0.43200000000000005,No edges random
1,0.28,0.47,1,147339_9403,0.432,No edges random
0,0.68,0.37,0,7323_158219,0.432,No edges random
2,0.47,0.42,2,54521_6871,0.43000000000000005,No edges random
2,0.55,0.4,2,10239_10901,0.43000000000000005,No edges random
4,0.71,0.36,4,2967_3030,0.42999999999999994,No edges random
2,0.34,0.45,2,10325_55809,0.42800000000000005,No edges random
0,0.69,0.36,0,57186_9403,0.42599999999999993,No edges random
1,0.73,0.35,1,80011_23335,0.42599999999999993,No edges random
1,0.4,0.43,1,8664_9819,0.42400000000000004,No edges random
1,0.56,0.39,1,55011_55561,0.42400000000000004,No edges random
4,0.48,0.41,4,55245_3720,0.42400000000000004,No edges random
4,0.48,0.41,4,10474_727936,0.42400000000000004,No edges random
1,0.59,0.38,1,83608_23274,0.42200000000000004,No edges random
4,0.47,0.41,4,199692_222229,0.42200000000000004,No edges random
2,0.43,0.42,2,3032_9701,0.42200000000000004,No edges random
4,0.59,0.38,4,51148_51412,0.42200000000000004,No edges random
0,0.39,0.43,0,1902_54762,0.42200000000000004,No edges random
4,0.51,0.4,4,51534_9535,0.42200000000000004,No edges random
2,0.58,0.38,2,23390_79980,0.42000000000000004,No edges random
4,0.37,0.43,4,80223_4528,0.41800000000000004,No edges random
0,0.45,0.41,0,7049_23390,0.41800000000000004,No edges random
2,0.41,0.42,2,51072_9204,0.41800000000000004,No edges random
4,0.45,0.41,4,83699_9600,0.41800000000000004,No edges random
0,0.65,0.36,0,404636_23408,0.418,No edges random
4,0.52,0.39,4,25852_55684,0.41600000000000004,No edges random
4,0.48,0.4,4,10468_50674,0.41600000000000004,No edges random
4,0.32,0.44,4,7189_58513,0.41600000000000004,No edges random
2,0.39,0.42,2,10492_254552,0.41400000000000003,No edges random
2,0.31,0.44,2,57509_26063,0.41400000000000003,No edges random
2,0.46,0.4,2,8436_222229,0.4120000000000001,No edges random
4,0.46,0.4,4,80145_55357,0.4120000000000001,No edges random
0,0.42,0.41,0,1808_55320,0.41200000000000003,No edges random
0,0.42,0.41,0,2778_79184,0.41200000000000003,No edges random
3,0.26,0.45,3,80314_7428,0.41200000000000003,No edges random
0,0.58,0.37,0,5073_115106,0.412,No edges random
0,0.66,0.35,0,57609_27097,0.412,No edges random
4,0.62,0.36,4,145553_2071,0.412,No edges random
2,0.53,0.38,2,25809_23408,0.41000000000000003,No edges random
0,0.33,0.43,0,54443_79780,0.41000000000000003,No edges random
0,0.37,0.42,0,819_51534,0.41000000000000003,No edges random
3,0.52,0.38,3,55561_64743,0.40800000000000003,No edges random
2,0.4,0.41,2,7090_64359,0.40800000000000003,No edges random
4,0.47,0.39,4,145553_80011,0.406,No edges random
0,0.51,0.38,0,10427_5971,0.406,No edges random
0,0.39,0.41,0,10799_7871,0.406,No edges random
4,0.51,0.38,4,26505_25852,0.406,No edges random
3,0.75,0.32,3,57609_56943,0.406,No edges random
4,0.59,0.36,4,57187_23059,0.40599999999999997,No edges random
4,0.42,0.4,4,2783_28981,0.4040000000000001,No edges random
1,0.42,0.4,1,219988_151963,0.4040000000000001,No edges random
1,0.38,0.41,1,66008_23597,0.404,No edges random
4,0.41,0.4,4,55245_2778,0.4020000000000001,No edges random
2,0.37,0.41,2,80349_6314,0.402,No edges random
3,0.4,0.4,3,93643_79184,0.4000000000000001,No edges random
0,0.32,0.42,0,55729_5423,0.4,No edges random
4,0.72,0.32,4,80349_80169,0.4,No edges random
4,0.52,0.37,4,3298_1368,0.4,No edges random
1,0.64,0.34,1,7374_4246,0.4,No edges random
2,0.6,0.35,2,5121_6275,0.39999999999999997,No edges random
0,0.43,0.39,0,57805_6386,0.3980000000000001,No edges random
3,0.51,0.37,3,4141_55188,0.398,No edges random
4,0.47,0.38,4,54620_8563,0.398,No edges random
0,0.55,0.36,0,199692_80179,0.398,No edges random
3,0.47,0.38,3,64795_80145,0.398,No edges random
1,0.42,0.39,1,51566_219790,0.3960000000000001,No edges random
3,0.46,0.38,3,9108_58513,0.3960000000000001,No edges random
3,0.66,0.33,3,57111_3312,0.396,No edges random
2,0.5,0.37,2,91289_66008,0.396,No edges random
4,0.62,0.34,4,50614_27296,0.396,No edges random
1,0.58,0.35,1,257218_55004,0.39599999999999996,No edges random
3,0.58,0.35,3,2783_27246,0.39599999999999996,No edges random
4,0.41,0.39,4,10325_80254,0.3940000000000001,No edges random
3,0.45,0.38,3,57111_8061,0.3940000000000001,No edges random
2,0.53,0.36,2,6936_84693,0.394,No edges random
0,0.36,0.4,0,2256_23059,0.39200000000000007,No edges random
0,0.72,0.31,0,221823_10248,0.392,No edges random
4,0.76,0.3,4,7323_80169,0.392,No edges random
1,0.76,0.3,1,83443_29015,0.392,No edges random
4,0.71,0.31,4,23395_27296,0.39,No edges random
1,0.34,0.4,1,55722_23468,0.38800000000000007,No edges random
1,0.66,0.32,1,3312_84693,0.388,No edges random
3,0.7,0.31,3,57609_1993,0.388,No edges random
1,0.78,0.29,1,51072_83699,0.388,No edges random
4,0.37,0.39,4,404636_56134,0.38600000000000007,No edges random
4,0.53,0.35,4,27309_727936,0.386,No edges random
2,0.45,0.37,2,94032_23162,0.386,No edges random
1,0.69,0.31,1,51367_10095,0.386,No edges random
1,0.45,0.37,1,63898_10239,0.386,No edges random
4,0.57,0.34,4,10570_2068,0.386,No edges random
4,0.36,0.39,4,7917_79780,0.38400000000000006,No edges random
3,0.39,0.38,3,57695_10782,0.38200000000000006,No edges random
4,0.35,0.39,4,10362_9270,0.38200000000000006,No edges random
4,0.79,0.28,4,84191_64847,0.38200000000000006,No edges random
1,0.47,0.36,1,284403_4209,0.382,No edges random
1,0.47,0.36,1,6314_23274,0.382,No edges random
2,0.43,0.37,2,3799_27309,0.382,No edges random
1,0.51,0.35,1,81839_1663,0.382,No edges random
1,0.55,0.34,1,8798_9741,0.382,No edges random
1,0.34,0.39,1,1116_254102,0.38000000000000006,No edges random
1,0.54,0.34,1,3305_112939,0.38,No edges random
